date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:14:10	63694/63694	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34bc-f8ce%22	https://html.rovadex.com/html-quadex/img/gal-8.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/gal-8.jpg	(from https://html.rovadex.com/html-quadex/gallery.html)
12:14:10	22125/22125	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34bb-566d%22	https://html.rovadex.com/html-quadex/img/gal-7.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/gal-7.jpg	(from https://html.rovadex.com/html-quadex/gallery.html)
12:14:10	22186/22186	---M--	200	added ('OK')	image/jpeg	etag:%225e7e34ce-56aa%22	https://html.rovadex.com/html-quadex/img/img-contact-1.jpg	D:/Drone/Drone/html.rovadex.com/html-quadex/img/img-contact-1.jpg	(from https://html.rovadex.com/html-quadex/contacts.html)
12:14:11	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-5a1d93e7d6810%22	https://html.rovadex.com/html-quadex/fonts/fontawesome-webfont.eot?v=4.7.0	D:/Drone/Drone/html.rovadex.com/html-quadex/fonts/fontawesome-webfont3e6e.eot	(from https://html.rovadex.com/html-quadex/css/font-awesome.min.css)
12:14:11	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%225e7e34a4-12d68%22	https://html.rovadex.com/html-quadex/fonts/fontawesome-webfont.woff2?v=4.7.0	D:/Drone/Drone/html.rovadex.com/html-quadex/fonts/fontawesome-webfont3e6e.woff2	(from https://html.rovadex.com/html-quadex/css/font-awesome.min.css)
12:14:11	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-5a1d93e7d6810%22	https://html.rovadex.com/html-quadex/fonts/fontawesome-webfont.eot?	D:/Drone/Drone/html.rovadex.com/html-quadex/fonts/fontawesome-webfontd41d.eot	(from https://html.rovadex.com/html-quadex/css/font-awesome.min.css)
12:14:12	98024/98024	---M--	200	added ('OK')	font/woff	etag:%225e7e34a3-17ee8%22	https://html.rovadex.com/html-quadex/fonts/fontawesome-webfont.woff?v=4.7.0	D:/Drone/Drone/html.rovadex.com/html-quadex/fonts/fontawesome-webfont3e6e.woff	(from https://html.rovadex.com/html-quadex/css/font-awesome.min.css)
12:14:12	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225e7e34a1-286ac%22	https://html.rovadex.com/html-quadex/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/Drone/Drone/html.rovadex.com/html-quadex/fonts/fontawesome-webfont3e6e.ttf	(from https://html.rovadex.com/html-quadex/css/font-awesome.min.css)
12:14:12	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e7e34a0-6c7db%22	https://html.rovadex.com/html-quadex/fonts/fontawesome-webfont.svg?v=4.7.0	D:/Drone/Drone/html.rovadex.com/html-quadex/fonts/fontawesome-webfont3e6e.svg	(from https://html.rovadex.com/html-quadex/css/font-awesome.min.css)
12:14:12	6566/6566	---M--	200	added ('OK')	image/png	etag:%225e7e34a6-19a6%22	https://html.rovadex.com/html-quadex/img/autor-img.png	D:/Drone/Drone/html.rovadex.com/html-quadex/img/autor-img.png	(from https://html.rovadex.com/html-quadex/sindle-blog.html)
